trade_date,portfolio_value,benchmark_value,cash,equity,position,n_holdings
2022-09-08,890751.201435294,821040.3818986645,178509.9954485661,712241.2059867278,0.8,10
2022-09-09,902417.2977357812,832448.7140531087,178509.9954485661,723907.302287215,0.8,10
2022-09-13,908435.1347224787,835972.082685605,178509.9954485661,729925.1392739125,0.8,10
2022-09-14,902634.2366642642,826667.9583102512,178509.9954485661,724124.2412156982,0.8,10
2022-09-15,909603.8043301699,818891.9873829684,178509.9954485661,731093.8088816038,0.8,10
2022-09-16,893682.984849964,799688.9562826433,178509.9954485661,715172.989401398,0.8,10
2022-09-19,894559.1763318009,798736.7961622733,178509.9954485661,716049.1808832347,0.8,10
2022-09-20,887786.727088287,799720.1696469736,178509.9954485661,709276.7316397208,0.8,10
2022-09-21,886063.6993373472,793802.5834620453,178509.9954485661,707553.7038887811,0.8,10
2022-09-22,881546.0392045111,786809.4071101766,178509.9954485661,703036.043755945,0.8,10
2022-09-23,884097.0783079239,784100.2904306963,178509.9954485661,705587.0828593578,0.8,10
2022-09-26,876996.701124813,780166.8168263338,178509.9954485661,698486.7056762469,0.8,10
2022-09-27,878686.7783272669,791476.3642746431,178509.9954485661,700176.7828787008,0.8,10
2022-09-28,876386.3854545848,778546.670374855,178509.9954485661,697876.3900060187,0.8,10
2022-09-29,867661.3975896584,778228.1517176104,178509.9954485661,689151.4021410923,0.8,10
2022-09-30,871237.3334234233,773702.0918830754,178509.9954485661,692727.3379748572,0.8,10
2022-10-10,870540.3435566842,756631.5741013504,173550.4768179456,696989.8667387386,0.8,10
2022-10-11,871705.0676068323,758004.189423192,173550.4768179456,698154.5907888866,0.8,10
2022-10-12,875776.2102627228,769517.487953319,173550.4768179456,702225.7334447772,0.8,10
2022-10-13,868664.8356896739,763084.9930963562,173550.4768179456,695114.3588717283,0.8,10
2022-10-14,876986.9756512502,781344.6892229688,173550.4768179456,703436.4988333046,0.8,10
2022-10-17,877168.1966200405,782146.2931547384,173550.4768179456,703617.7198020949,0.8,10
2022-10-18,877051.1911035283,780490.012404618,173550.4768179456,703500.7142855827,0.8,10
2022-10-19,867475.4142823055,767936.9123207242,173550.4768179456,693924.9374643599,0.8,10
2022-10-20,867074.2753709449,763543.3313582493,173550.4768179456,693523.7985529993,0.8,10
2022-10-21,864197.5081776173,761096.2849325078,173550.4768179456,690647.0313596717,0.8,10
2022-10-24,847326.7016213116,738826.0883454523,173550.4768179456,673776.224803366,0.8,10
2022-10-25,846705.4225450534,737622.4725486594,173550.4768179456,673154.9457271078,0.8,10
2022-10-26,845588.1404084201,743610.6599068483,173550.4768179456,672037.6635904745,0.8,10
2022-10-27,845152.1837904771,738372.9353655815,173550.4768179456,671601.7069725315,0.8,10
